District,Deal Count
نمار,4461
الخير,3873
عريض,3816
الرمال,3353
النرجس,2494
الوسام,1740
بدر,1514
السحاب,1326
طويق,1127
الملقا,1032
الياسمين,628
الندى,216
الحمراء,186
الريان,169
المحمدية,155
الملك فيصل,125
الازدهار,120
الروابي,102
المروج,90
القيروان,84
الجزيرة,74
الملك فهد,61
المغرزات,59
الشهداء,58
التعاون,36
الصناعية,32
الخزامى,22
الديرة,20
بنبان,3
الفلاح,1
